Serial_No,Name,Aggregate,GRE,IELTS,TOEFL,University,CGPA,Gender,Poissan,Fees
599,Millisent,465,264,6.3,108,Fachhochschule Kaiserslautern,9.1,F,281,"$42,211.28 "
600,Silvana,628,302,7.6,119,University of Turin,8.86,F,304,"$43,614.76 "
601,Ignacius,407,261,3.3,71,Universität Linz,6.65,M,286,"$61,925.06 "
602,Kassandra,281,266,4.8,83,Namik Kemal University,7.94,F,304,"$60,617.86 "
603,Janie,409,330,3.5,95,Tokyo Metropolitan University of Health Sciences,5.65,F,276,"$63,800.01 "
604,Nealon,194,298,7.9,71,Université Rennes I,7.17,M,315,"$30,312.86 "
605,Addison,122,302,8.3,90,Bethany College West Virginia,9.63,M,318,"$46,811.07 "
606,Dewie,314,299,8.2,101,Zawiya Academy,9.33,M,281,"$32,640.70 "
607,Cornie,331,292,6.2,102,Periyar University,6.26,F,316,"$46,513.55 "
608,Robin,336,328,3.4,108,"University of the East, Manila",7.11,F,305,"$31,515.38 "
609,Tripp,105,323,8,107,Sunway University College,6.29,M,276,"$51,314.53 "
610,Miran,269,329,7,110,Minia University,4.43,F,299,"$61,806.08 "
611,Mallory,328,273,4.8,120,Tokyo International University,8.55,M,313,"$62,371.57 "
612,Ogdon,490,287,5.4,96,Gollis University,9.57,M,306,"$51,100.34 "
613,Lindon,179,285,4.5,119,Universidade Eduardo Mondlane,9.4,M,270,"$48,662.59 "
614,Odelle,420,305,5.2,70,"Islamic Azad University, Tehran Medical",7.03,F,257,"$46,527.64 "
615,Nicola,395,321,7,113,East Ukrainian National University,7.58,M,316,"$34,431.98 "
616,Annelise,315,340,7.3,64,National Institute of Technology Kurukshetra,6.93,F,316,"$55,109.89 "
617,Jana,616,322,8,109,Vongchavalitkul University,8.66,F,322,"$51,854.53 "
618,Giustina,687,295,6.7,86,Jodhpur National University,4.51,F,317,"$62,388.81 "
619,Tait,230,304,3.6,107,Elmhurst College,7.24,M,284,"$61,390.79 "
620,Jorge,407,265,7,114,Institut National Polytechnique de Grenoble,8.49,M,307,"$49,536.41 "
621,Janet,153,276,8.4,113,Fontbonne College,6.93,F,314,"$28,365.19 "
622,Tracee,500,340,5.3,60,Odessa National Polytechnic University,8.46,F,332,"$36,274.57 "
623,Jacky,309,331,3.3,111,Universidad de Los Andes,4.83,F,323,"$60,131.50 "
624,Tildie,297,290,8.6,118,Instituts Supérieurs des Etudes Technologiques,6.99,F,265,"$51,631.54 "
625,Ibrahim,100,338,5.9,91,Vitebsk State University,6.25,M,303,"$61,028.83 "
626,Ruthie,79,328,4.4,68,Universidade Estácio de Sá,7,F,319,"$35,382.50 "
627,Orin,152,326,4.5,113,Brigham Young University,8.77,M,271,"$33,849.61 "
628,Andrej,277,277,8.9,90,Maejo University,8.05,M,286,"$59,299.23 "
629,Rhys,647,276,6.2,115,Jiwaji University,8.71,M,284,"$42,728.83 "
630,Stephie,372,276,7.7,96,Harran University,4.52,F,293,"$51,863.60 "
631,Dale,146,277,7.6,80,"University of the East, Ramon Magsaysay Memorial Medical Center",5.2,F,326,"$58,026.86 "
632,Gypsy,476,293,3.2,90,Rust College,8.04,F,276,"$44,158.14 "
633,Emmott,339,306,6.7,116,Niigata University,4.03,M,318,"$62,938.28 "
634,Arnaldo,351,290,6.8,74,University of Tuzla,4.14,M,313,"$69,105.60 "
635,Hermie,184,303,4.2,67,Smolny University,4.96,M,325,"$42,589.86 "
636,Christabella,670,263,7.7,106,St. Petersburg State University of Culture and Arts,6.17,F,306,"$28,961.92 "
637,Llywellyn,169,332,8.5,99,Mukogawa Women's University,8.3,M,303,"$36,639.39 "
638,Annabal,76,284,4.8,106,Federal University of Petroleum Resources,6.58,F,301,"$27,651.35 "
639,Eugenie,388,270,8.2,109,Persian Gulf University,9.03,F,325,"$66,447.52 "
640,Lemmie,239,266,4,80,Kent State University - Tuscarawas,8.18,M,288,"$65,388.90 "
641,Mitchell,228,278,6.3,84,Wilfrid Laurier University,5.87,M,275,"$30,100.91 "
642,Lily,510,296,6,94,Universidad San Sebastian,4.65,F,344,"$33,716.34 "
643,Vivianna,673,293,3.9,106,Ecole Supérieure de Commerce de Sophia Antipolis,6,F,327,"$54,872.31 "
644,Sunny,584,277,7.8,115,Daemen College,4.32,F,308,"$61,188.67 "
645,Chandler,54,320,7.3,74,Amber University,7.59,M,305,"$29,378.19 "
646,Tyson,404,290,8.4,108,Lakshmibai National Institute of Physical Education,4.47,M,295,"$54,615.64 "
647,Cello,237,307,8,77,"Islamic Azad University, Ahar",4.59,M,262,"$39,054.55 "
648,Israel,256,313,5.2,81,University of the Philippines Visayas,5.34,M,303,"$34,058.01 "
649,Christye,43,261,5.4,111,South Asian University,4.92,F,300,"$48,314.23 "
650,Trudi,410,281,5.1,110,Beijing University of Aeronautics and Astronautics,5.83,F,331,"$50,836.18 "
651,Tybi,684,305,5.1,90,Technical University of Rzeszow,4.24,F,315,"$35,736.85 "
652,Hugibert,300,306,4.4,67,Universitas Khairun,4.65,M,314,"$59,615.99 "
653,Nestor,608,336,3.6,92,Mohi-ud-Din Islamic University,4.04,M,309,"$25,312.76 "
654,Goldy,368,302,4.4,64,ITT Technical Institute West Covina,9.2,F,310,"$36,092.84 "
655,Barry,124,289,8.1,66,Ecole Supérieure de Commerce de Sophia Antipolis,6.91,F,322,"$57,479.71 "
656,Ignaz,617,314,7.2,110,Columbia Commonwealth University,4.63,M,298,"$65,249.86 "
657,Violante,312,320,8.1,92,"Federal College Of Education (Technical), Akoka",9.65,F,288,"$33,802.78 "
658,Betsy,406,322,3.8,112,Svey Reong University,9.52,F,301,"$69,317.20 "
659,Sharline,79,283,7.6,104,Herat University,6.36,F,306,"$59,068.82 "
660,Reinaldo,394,285,3.6,79,Institut Supérieure d'Electronique du Nord,9.47,M,278,"$31,877.04 "
661,Glenden,563,284,6.8,63,Linton University College,8.72,M,304,"$27,173.13 "
662,Merill,688,299,4.2,72,Uganda Martyr's University,9.41,M,316,"$63,805.48 "
663,Tim,224,263,3.8,70,Kushiro Public University of Economics,5.69,M,310,"$25,735.63 "
664,Vivie,241,331,6.7,77,Canisius College,5.47,F,279,"$37,573.86 "
665,Rickie,476,301,4.3,101,University of Wolverhampton,6.75,M,319,"$42,719.45 "
666,Gaye,539,292,4.5,99,Moscow State Institute of Steel and Alloys,4.76,F,287,"$42,916.60 "
667,Isa,317,339,8.8,74,Masinde Muliro University of Science and Technology,7.11,M,312,"$44,777.19 "
668,Martin,623,334,3.6,85,Gettysburg College,9.38,M,259,"$53,706.25 "
669,Tiffani,118,287,3.3,97,Universidade Veiga de Almeida,8.29,F,282,"$49,048.29 "
670,Reggi,348,316,6.2,120,Universität Rostock,9.24,F,291,"$63,984.73 "
671,Di,100,268,8.1,91,Universiti Utara Malaysia,9.74,F,300,"$56,414.62 "
672,Zsazsa,127,273,3.4,102,Centro de Estudios Universitarios Monterrey,6.7,F,327,"$50,323.72 "
673,Bettye,83,300,5.3,60,Vitebsk State University,5.73,F,293,"$49,478.24 "
674,Wilona,37,294,8.2,90,ITT Technical Institute Maitland,6.01,F,292,"$27,724.95 "
675,Linda,94,265,6.7,67,Austin College,9.63,F,318,"$65,660.24 "
676,Kimmi,700,288,6,89,Bells University of Technology,5.47,F,315,"$45,112.93 "
677,Matteo,572,297,8,117,Siberian State University of Telecommunications and Informatics,5.11,M,298,"$54,607.37 "
678,Brett,254,330,7.3,99,Ecole Supérieure d'Electronique de l'Ouest,4.69,F,313,"$69,664.35 "
679,Cherida,286,322,6,116,Ludong University,9.35,F,297,"$50,599.39 "
680,Keelia,680,329,3.1,77,"Islamic Azad University, Boukan",8.38,F,305,"$45,315.16 "
681,Michele,12,286,8.8,109,Jinnah University for Women,7.95,F,285,"$44,228.30 "
682,Angil,419,297,7.7,116,"Concordia University, Austin",8.51,F,312,"$61,166.23 "
683,Christiano,153,319,8.8,105,Okayama Shoka University,6.86,M,305,"$52,634.49 "
684,Ariadne,490,286,5.5,67,Universidad Mexicana del Noreste,9.5,F,295,"$30,540.08 "
685,Gayle,211,296,3,63,"Johnson & Wales University, Charleston",4.1,F,311,"$62,170.05 "
686,Zola,557,280,6.9,72,Ecole Nationale d'Administration,9.06,F,291,"$25,373.68 "
687,Tedra,347,264,7.1,88,National Mining University,4.87,F,304,"$63,104.62 "
688,Ashlin,599,274,8.4,60,Robert Morris College,4.8,M,321,"$48,221.83 "
689,Abbe,437,301,4.2,65,Aarhus School of Architecture,9.25,F,290,"$60,920.93 "
690,Bunny,114,295,5.6,86,European University Institute,5.89,F,278,"$53,771.21 "
691,Alexis,197,282,8.7,70,National University of Science and Technology Bulawayo,5.36,M,319,"$66,309.00 "
692,Thorvald,34,326,4.6,112,Universidade Salgado de Oliveira,6.05,M,289,"$51,440.60 "
693,Fern,174,274,7.1,79,Urmia University of Technology,7.05,F,290,"$56,945.30 "
694,Laryssa,688,334,3.1,107,"National Institute of Technology, Calicut",9.3,F,330,"$27,405.13 "
695,Nertie,448,302,8.5,98,Godfrey Okoye University,8.41,F,301,"$45,995.64 "
696,Cristi,503,315,6.6,70,Toyo University,6.13,F,300,"$38,988.68 "
697,Freddy,346,288,3.4,99,Yildiz Technical University,5.82,F,296,"$27,206.84 "
698,Maud,369,278,5.2,108,Kiriri Womens University of Science and Technology,9.34,F,307,"$42,117.48 "
699,Boyce,116,311,8.2,93,Universidad de Los Andes,7.78,M,285,"$61,808.81 "
700,Inglebert,176,332,6.4,84,University College of Gävle,5.78,M,317,"$27,508.62 "
701,Hilarius,594,333,8.8,88,University of Switzerland,7.99,M,335,"$32,133.88 "
702,Cyrille,394,269,6.1,109,Ashesi University,6.89,M,305,"$62,167.12 "
703,Federica,672,264,6.3,91,Al-Manar University,9.48,F,290,"$33,105.66 "
704,Ailina,205,282,3.5,103,Universitas Merdeka Madiun,8.25,F,284,"$61,026.33 "
705,Michail,670,278,5.7,113,Blue Nile University,7.42,M,320,"$41,322.09 "
706,Arin,396,319,6.4,92,Ecole Nationale de l'Aviation Civile,5.65,M,331,"$34,821.60 "
707,Oralla,307,300,9,80,Higher Institute of Business Administration,6.87,F,256,"$34,990.30 "
708,Gilberta,448,280,4.2,108,Medical Academy in Lodz,7.55,F,268,"$37,507.53 "
709,Reade,138,271,7.5,89,University of Bergamo,5.88,M,310,"$48,894.76 "
710,Jose,528,269,7.2,71,Technical University of Czestochowa,5.58,M,295,"$59,649.03 "
711,Margit,166,280,4.7,74,Leon Kozminski Academy of Entrepreneurship and Mangement,9.61,F,299,"$56,650.81 "
712,Montague,227,266,8.2,75,Maseno University,7.09,M,298,"$44,311.66 "
713,Yuri,192,276,3.4,116,Universität Mannheim,7.59,M,298,"$40,226.69 "
714,Jesse,417,288,8.9,69,Trent University,8.99,F,277,"$28,821.77 "
715,Berky,447,322,6.6,115,Universidad de Atacama,8.38,M,297,"$53,892.73 "
716,Bernita,315,285,6.8,69,Instituto Politécnico de Lisboa,4.83,F,276,"$29,643.79 "
717,Kale,213,297,8.1,77,Kangnam University,9.64,M,300,"$59,442.98 "
718,Sisile,350,331,3.4,73,University of Berne,5.36,F,324,"$53,810.01 "
719,Corbet,32,300,7.4,103,Adams State College,9.15,M,293,"$29,257.40 "
720,Casandra,57,332,7.8,103,Emmanuel College,9.67,F,296,"$48,202.96 "
721,Auberta,490,337,4.5,69,Mu' tah University,7.27,F,290,"$56,669.47 "
722,Berta,214,307,4.5,115,Mount Senario College,4.01,F,285,"$33,289.45 "
723,Issi,543,318,7.9,95,Covenant College,7.28,F,302,"$60,476.66 "
724,Wilton,409,286,3.7,72,Dowling College,8.19,M,302,"$43,367.80 "
725,Ross,632,298,8.8,99,Baylor College of Medicine,5.13,M,300,"$61,523.31 "
726,Creight,52,328,6.8,62,Universidad España de Durango,6.67,M,311,"$65,679.20 "
727,Alden,525,303,4.2,90,Central Ostrobothnia University of Applied Sciences,7.72,M,263,"$34,038.84 "
728,Ruby,567,296,8.8,63,Kigali Independent University,4.83,F,330,"$31,302.61 "
729,Ely,322,329,3.8,115,University of Science and Technology,5.15,M,296,"$45,983.96 "
730,Teresa,692,288,5.9,92,International University of Japan,6.29,F,279,"$59,500.95 "
731,Steven,81,304,5.6,78,Institut National Polytechnique de Toulouse,8.08,M,355,"$41,785.74 "
732,Welch,31,303,6.2,84,Kiriri Womens University of Science and Technology,5.28,M,282,"$28,403.31 "
733,Martin,59,313,6.9,91,St. Clair College,8.23,M,293,"$34,453.01 "
734,Conchita,555,300,3.6,104,Faculdades Integradas UPIS,5.03,F,317,"$42,989.64 "
735,Patton,416,286,7.9,85,Kyrgyz Russian Slavic University,4.43,M,291,"$29,668.33 "
736,Lizette,141,321,7.9,64,Carroll College Helena,9.02,F,295,"$39,607.04 "
737,Axe,14,261,8,110,Universitas Pancasakti Tegal,9.87,M,312,"$69,248.16 "
738,Celestia,504,280,7.3,67,Universidad Católica de Córdoba,6.96,F,290,"$66,840.07 "
739,Ertha,623,322,4,92,EPF Ecole d'Ingénieurs,8.68,F,324,"$39,346.70 "
740,Ariadne,582,299,6.1,105,Universitas Terbuka Indonesia,7.17,F,300,"$53,039.18 "
741,Costanza,555,287,6.3,120,Northland College,9.25,F,308,"$45,667.39 "
742,Quincy,572,291,6,96,Universidad Técnica Estatal de Quevedo,6.11,M,304,"$48,920.12 "
743,Sean,467,270,3.7,83,Damietta University,4.56,M,287,"$51,389.92 "
744,Carolan,77,297,6.1,110,Katholische Hochschule für Soziale Arbeit Saarbrücken,5.45,F,332,"$52,907.38 "
745,Nora,464,279,6,86,International Tourism Institute,4.31,F,320,"$51,171.09 "
746,Elliott,336,315,8.8,116,Université de Djibouti,6.81,M,276,"$32,390.37 "
747,Anna,625,289,6.5,91,Centre d'Etudes Supérieures des Techniques Industrielles,8.92,F,304,"$33,969.65 "
748,Micheil,70,330,5,80,Libya Open University,9.3,M,300,"$64,843.52 "
749,Syd,81,274,5.1,106,Technical University of Mining and Metallurgy Ostrava,6.16,M,306,"$38,292.76 "
750,Jacenta,453,320,8.2,72,Svey Reong University,8.75,F,311,"$60,530.39 "
751,Karney,52,312,6.9,79,Universidade do Oeste de Santa Catarina,7.44,M,294,"$46,971.48 "
752,Cale,478,262,6.7,106,Universitas Pasundan,6.34,M,303,"$62,901.46 "
753,Israel,634,317,7.6,105,"Donghua University, Shanghai",8.56,M,332,"$47,453.34 "
754,Ingemar,601,264,7,109,University of Minnesota - Morris,9.43,M,290,"$39,879.57 "
755,Roderic,334,281,6.9,72,Oakwood College,9.21,M,301,"$34,840.60 "
756,Timi,355,335,5.1,108,Ecole Supérieure des Techniques Industrielles et des Textiles,9.53,F,313,"$39,168.23 "
757,Ronica,140,334,6.9,66,Université de Batna,7.01,F,284,"$27,299.89 "
758,Dominique,230,302,4.6,82,St Clements University - Higher Education School,4.8,F,297,"$66,503.74 "
759,Joyan,239,297,3.3,67,"Goldsmiths College, University of London",9.86,F,274,"$61,762.58 "
760,Jasmin,232,315,5.3,93,Universidad Nacional Daniel Alcides Carrion,4.72,F,279,"$56,412.66 "
761,Alexandr,586,308,4.6,90,University of Worcester,9.01,M,330,"$57,696.49 "
762,Any,17,283,5.2,96,Altai State University,4.01,M,290,"$45,681.80 "
763,Thurstan,64,336,7.1,118,St. John Fisher College,9.76,M,289,"$55,481.53 "
764,Dermot,338,312,8.6,68,International University of Novi Pazar,9.62,M,303,"$49,195.24 "
765,Odelia,440,302,4.6,118,Calvin College,9.07,F,333,"$68,817.44 "
766,Carleen,550,327,4.5,73,Trevecca Nazarene University,5.9,F,267,"$42,752.71 "
767,Reginauld,161,329,5.5,77,"Universidad Argentina ""John F. Kennedy""",9.28,M,292,"$38,796.63 "
768,Baryram,479,273,6.5,83,Corporación Universitaria de Santander (UDES),7.21,M,314,"$50,175.75 "
769,Koren,555,325,3.4,62,National Technical University (Kharkiv Polytechnical Institute),6.12,F,313,"$47,270.88 "
770,Vida,665,261,4.9,98,Fachhochschule Bonn-Rhein-Sieg,7.28,F,312,"$32,522.69 "
771,Ramon,24,290,3.1,62,Universidad Central,9.34,M,263,"$53,251.02 "
772,Starr,62,282,5.7,82,University of Rijeka,4.89,F,285,"$51,433.80 "
773,Zared,260,275,5.8,80,Shandong University of Science and Technology,7.02,M,291,"$50,097.44 "
774,Gui,288,324,6.8,104,Kwara State University ,7.83,F,338,"$27,390.11 "
775,Zoe,403,332,4.2,90,Academia Nacional Superior de Orquesta,5.02,F,313,"$34,424.75 "
776,Kelcie,27,268,4.2,108,Tilak Maharashtra Vidyapeeth,5.08,F,295,"$40,967.10 "
777,Annalee,349,340,4.1,114,Facultés Universitaires Notre-Dame de la Paix,9.41,F,272,"$59,109.80 "
778,Bail,566,282,8.1,97,Richmond University - The American International University in London,8.89,M,278,"$64,186.43 "
779,Armand,698,296,6.4,115,Johns Hopkins University,6.15,M,308,"$34,963.59 "
780,Lotta,470,279,8.2,102,Moshi University College of Cooperative and Business Studies,7.92,F,315,"$32,837.80 "
781,Nyssa,40,316,4.3,120,Chang Jung University,7.97,F,305,"$56,124.66 "
782,Dorolice,159,300,6.2,79,Chadron State College,9.54,F,337,"$42,549.89 "
783,Aurie,244,319,9,112,Presbyterian University College,8.53,F,293,"$45,257.31 "
784,Travers,144,317,3.1,94,Atish Dipankar University,8.99,M,318,"$29,632.35 "
785,Dalton,170,338,6.6,94,University of East Asia,7.63,M,296,"$61,998.57 "
786,Carlyle,679,309,8.3,87,University of West Los Angeles,4.21,M,310,"$36,950.80 "
787,Nolana,559,293,4,93,Biju Pattnaik University of Technology,4.61,F,324,"$38,925.34 "
788,Cyrillus,580,307,7.5,75,Universitas Putera Batam,4.44,M,289,"$36,786.95 "
789,Dorri,644,288,5.6,68,Aichi Gakusen University,9.04,F,292,"$46,780.58 "
790,Stacee,615,286,6.6,90,"Technische Fachhochschule Georg Agricola für Rohstoff, Energie und, Umwelt zu Bochum",4.28,F,302,"$63,345.18 "
791,Gilberto,474,290,8.2,90,Galillee College,6.2,M,304,"$44,463.61 "
792,Worden,569,260,7.8,114,"Benedictine University, Springfield College in Illinois",8.18,M,317,"$29,633.08 "
793,Wendi,363,284,8.2,64,Poltava National Technical University,5.31,F,269,"$29,448.82 "
794,Ninon,597,314,4.9,73,"Music Academy ""Felix Nowowiejski"" in Bydgoszcz",9.66,F,284,"$32,137.07 "
795,Nelly,318,290,4.2,69,Aga Khan University,4.37,F,308,"$61,904.01 "
796,Maryann,380,280,8.7,74,Franciscan University of Steubenville,4.26,F,289,"$41,979.52 "
797,Keeley,385,293,3.8,91,SRH University of Applied Sciences,8.45,F,286,"$66,435.62 "
798,Lucille,512,323,5,88,Mokpo National University,5.38,F,320,"$42,124.67 "
799,Lionello,594,292,4.4,96,Gollis University,5.14,M,319,"$58,657.24 "
800,Bord,26,272,5.7,104,Tamil Nadu Dr. Ambedkar Law University,9.12,M,308,"$69,071.95 "
